date,time,latitude,longitude,altitude,qx,qy,qz,qw,image,class
9/13/2024,13:47:45,28.599640325680085,-81.19461639,0.8125326298177242,0.6570857665146096,0.055960558,-0.747189965,0.082547194,1726235265023.jpg,
9/13/2024,13:47:46,28.599716148259887,-81.19455625,0.5980305662378669,0.6553010933454074,0.078455313,-0.744240239,0.1026241030594113,1726235266054.jpg,
9/13/2024,13:47:47,28.599794149918107,-81.19450227,0.5781395882368088,0.6494770362816688,0.099865243,-0.743245747,0.1256672563715621,1726235267066.jpg,
9/13/2024,13:47:48,28.599875514820784,-81.19445269,0.276530254,0.6489263914068478,0.1135659120588677,-0.738063825,0.1458046490851772,1726235268061.jpg,
9/13/2024,13:47:49,28.59995914250866,-81.19440825,0.3677387554198503,0.6484851695121953,0.1284354726839003,-0.733091315,0.1598388463195985,1726235269077.jpg,
9/13/2024,13:47:50,28.60004453810333,-81.1943671,0.594466963,0.6444062869261299,0.1470353335363464,-0.729290586,0.1767950136791832,1726235270074.jpg,
9/13/2024,13:47:51,28.600131481622373,-81.19433115,0.6593348244205117,0.6407815657364131,0.1645379866792621,-0.723171036,0.1983680113848172,1726235271091.jpg,
9/13/2024,13:47:52,28.60021910767076,-81.19430238,0.8829990774393082,0.6347904675537003,0.1858825455448224,-0.717089109,0.2197086806099769,1726235272081.jpg,
9/13/2024,13:47:53,28.60030841634083,-81.19427873,0.7680155765265226,0.6233420961125248,0.2055866814023204,-0.71425049,0.2429508452201361,1726235273122.jpg,
9/13/2024,13:47:54,28.600400003039667,-81.19426092,0.8021579384803772,0.6209516528336012,0.2218196610243474,-0.703455625,0.2652644443067742,1726235274130.jpg,
9/13/2024,13:47:55,28.600490015835216,-81.19425015,0.8515662364661694,0.6174829892236907,0.2355356165523425,-0.696082565,0.280547338,1726235275120.jpg,
9/13/2024,13:47:56,28.600580349245323,-81.19424348,0.8057784857228398,0.6100690655925504,0.2529359489863995,-0.691268787,0.293234658,1726235276112.jpg,
9/13/2024,13:47:57,28.600669941934537,-81.1942406,1.0619318364188075,0.6017225569027671,0.2653788998093279,-0.68873678,0.3051977367122592,1726235277136.jpg,
9/13/2024,13:47:58,28.60076056476039,-81.19424235,0.8875597817823291,0.5985855668557065,0.2751171872114655,-0.688308367,0.3037062251325375,1726235278162.jpg,
9/13/2024,13:47:59,28.60085126016586,-81.19424509,0.7894700514152646,0.5953900224269758,0.2780499258481432,-0.69040309,0.3025598815237296,1726235279160.jpg,
9/13/2024,13:48:00,28.600940026572804,-81.19424666,0.7583817113190889,0.5975534953858743,0.2798181289097139,-0.689432988,0.2988544228807501,1726235280174.jpg,
9/13/2024,13:48:01,28.60102739066268,-81.19424809,0.6762361200526357,0.5979730066587303,0.2792779587109668,-0.690789655,0.2953670958642369,1726235281193.jpg,
9/13/2024,13:48:02,28.60111428685864,-81.19424782,0.8599069379270077,0.5969180665650996,0.2790252844363557,-0.693264677,0.2919207789890278,1726235282196.jpg,
9/13/2024,13:48:03,28.601201604102403,-81.19424783,1.1592038199305534,0.5976600189766748,0.2754341138121452,-0.694283397,0.2913918284376764,1726235283200.jpg,
9/13/2024,13:48:04,28.60128515631128,-81.19424621,1.1302093118429184,0.5934797200318558,0.2791733443120291,-0.694457579,0.295927087,1726235284207.jpg,
9/13/2024,13:48:05,28.60136579,-81.19424542,1.0148846339434383,0.5925802804734803,0.2843859162916646,-0.690144211,0.3027776865578914,1726235285231.jpg,
